"","GCM","RCM","Year","Region_Name","Region_ID","Heatwave_Count","Mean_Duration","Mean_Intensity","Simulator","GCM_labeled"
"88","CNRM-CERFACS-CNRM-CM5","ALADIN63",2067,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"89","CNRM-CERFACS-CNRM-CM5","ALADIN63",2068,"E Midlands",1,0.00934579439252336,3,30.4859889348348,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"90","CNRM-CERFACS-CNRM-CM5","ALADIN63",2069,"E Midlands",1,0.0841121495327103,3,31.486677982189,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"91","CNRM-CERFACS-CNRM-CM5","ALADIN63",2070,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"92","CNRM-CERFACS-CNRM-CM5","ALADIN63",2071,"E Midlands",1,0.551401869158878,3,33.5283752861669,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"93","CNRM-CERFACS-CNRM-CM5","ALADIN63",2072,"E Midlands",1,0.766355140186916,4.36585365853659,34.7031019055193,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"94","CNRM-CERFACS-CNRM-CM5","ALADIN63",2073,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"95","CNRM-CERFACS-CNRM-CM5","ALADIN63",2074,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"96","CNRM-CERFACS-CNRM-CM5","ALADIN63",2075,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"97","CNRM-CERFACS-CNRM-CM5","ALADIN63",2076,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"98","CNRM-CERFACS-CNRM-CM5","ALADIN63",2077,"E Midlands",1,0.738317757009346,3.43037974683544,33.8154071111719,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"99","CNRM-CERFACS-CNRM-CM5","ALADIN63",2078,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"100","CNRM-CERFACS-CNRM-CM5","ALADIN63",2079,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"101","CNRM-CERFACS-CNRM-CM5","ALADIN63",2080,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"102","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1980,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"103","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1981,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"104","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1982,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"105","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1983,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"106","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1984,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"107","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1985,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"108","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1986,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"109","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1987,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"110","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1988,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"111","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1989,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"112","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1990,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"113","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1991,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"114","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1992,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"115","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1993,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
"116","CNRM-CERFACS-CNRM-CM5","CCLM4-8-17",1994,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_CCLM4-8-17","CNRM-CERFACS-CNRM-CM5.02"
