North	East
12045.37	171462.61
12140.49	171529.87
12401.35	171540.99
12602.34	171423.15
12895.76	171435.67
12996.26	171376.76
13058.81	171442.62
13156.62	171446.79
13251.74	171514.04
13349.55	171518.21
13444.66	171585.46
13607.71	171592.41
13767.18	171683.43
13761.81	171809.57
13983.72	171966.5
14081.53	171970.66
14557.26	172306.79
14554.58	172369.85
14744.84	172504.28
14742.16	172567.34
14773.83	172589.79
14871.64	172593.94
14966.77	172661.15
15260.2	172673.61
15328.12	172613.33
15523.73	172621.63
15618.86	172688.83
15716.67	172692.99
15748.46	172715.37
15745.78	172778.41
15967.72	172935.25
NA	NA
12944.34	168024.78
12877.27	168064.04
12869.99	168232.28
12934.33	168256.11
12967.8	168236.51
12975.99	168047.27
12944.34	168024.78
NA	NA
-50318.29	357744.73
-50318.29	357744.73
NA	NA
-77510.1	392557.47
-77510.1	392557.47
NA	NA
-50924.52	348574.16
-50794.93	348660.41
-50795.33	348702.96
-50860.87	348744.9
-50926.12	348744.29
-50990.97	348701.13
-50989.97	348594.79
-50924.52	348574.16
NA	NA
-49013.92	350037.77
-48916.1	350038.66
-48883.72	350060.19
-48884.3	350123.96
-48917.07	350144.97
-49014.89	350144.07
-49047.38	350122.47
-49046.8	350058.7
-49013.92	350037.77
NA	NA
-50775.83	350128.01
-50678	350128.9
-50645.82	350171.67
-50646.4	350235.46
-50679.17	350256.47
-50776.99	350255.58
-50809.29	350212.74
-50808.9	350170.19
-50775.83	350128.01
NA	NA
-51892.83	351032.43
-51534.11	351035.64
-51436.86	351100.32
-51143.39	351102.94
-51111.01	351124.47
-51113.28	351379.71
-51211.48	351421.33
-51214.12	351719.05
-51279.94	351782.27
-51281.06	351909.86
-51379.45	351972.87
-51382.05	352270.61
-51220.09	352399.62
-51220.64	352463.41
-50961.04	352614.5
-50895.78	352615.07
-50830.27	352573.08
-50829.9	352530.6
-50796.85	352488.34
-50732.08	352531.45
-50733.56	352701.58
-50701.06	352723.1
-50603.23	352723.94
-50505.96	352788.58
-50408.14	352789.42
-50343.44	352853.77
-50147.79	352855.46
-50050.51	352920.08
-49952.14	352857.14
-49691.24	352859.39
-49592.87	352796.46
-49495.04	352797.31
-49265.54	352650.51
-49264.06	352480.43
-49165.68	352417.51
-49165.12	352353.74
-49066.74	352290.82
-49065.63	352163.21
-49032.76	352142.27
-48934.94	352143.12
-48902.55	352164.64
-48903.11	352228.41
-48838.23	352271.51
-48740.4	352272.37
-48708.02	352293.95
-48709.13	352421.48
-48807.51	352484.4
-48810.09	352781.99
-48712.82	352846.6
-48713.18	352889.06
-48518.64	353018.35
-48520.28	353209.63
-48422.89	353274.23
-48423.8	353380.53
-48522.28	353443.45
-48523.36	353570.98
-48621.73	353633.91
-48624.78	353995.26
-48527.49	354059.85
-48527.85	354102.38
-48398.24	354209.69
-48299.88	354146.75
-48006.41	354149.22
-47714.71	354364.24
-47780.21	354406.22
-47814.49	354597.21
-47945.59	354681.11
-48043.41	354680.3
-48174.62	354764.27
-48177.78	355146.82
-48080.48	355211.38
-48082.39	355445.18
-47985.08	355509.73
-47986.47	355679.77
-47889.05	355744.32
-47922.25	355807.81
-47824.94	355872.36
-47825.45	355936.11
-47760.37	355957.87
-47662.55	355958.66
-47565.24	356023.27
-47304.34	356025.37
-47238.74	355983.37
-47238.4	355940.85
-47172.74	355877.63
-47171.71	355750.14
-47073.37	355687.18
-47072.5	355580.92
-47006.9	355538.93
-46941.65	355539.46
-46876.74	355582.51
-46877.09	355625.03
-46975.54	355687.98
-46976.58	355815.47
-46879.16	355880
-46879.67	355943.74
-46782.36	356008.28
-46782.7	356050.79
-46848.3	356092.79
-46913.04	356028.52
-46978.46	356049.22
-46978.98	356112.96
-47077.31	356175.92
-47012.23	356197.67
-46849.15	356198.98
-46784.24	356242.02
-46784.75	356305.76
-46883.08	356368.72
-46883.93	356474.98
-46786.62	356539.5
-46789.98	356964.47
-46692.66	357028.99
-46693.99	357198.98
-46661.76	357241.76
-46563.93	357242.52
-46466.61	357307.03
-46368.78	357307.79
-46206.53	357415.32
-46010.89	357416.84
-45913.56	357481.34
-45815.73	357482.1
-45749.98	357418.88
-45652.16	357419.64
-45586.74	357398.86
-45586.24	357335.13
